# Source: https://www.hockey-reference.com/teams/SEA/2022.html
Rk,Player,Age,Pos,GP,G,A,PTS,P_M,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,url
1,Jared McCann,25,C,74,27,23,50,-26,33,18,8,1,1,14,9,0,199,13.6,1194,16:08,4.0,0.7,4.8,29,65,224,268,45.5,mccanja01
2,Yanni Gourde,30,C,74,21,27,48,-13,45,17,3,1,3,20,4,3,127,16.5,1368,18:29,2.8,1.4,4.2,31,77,444,453,49.5,gourdya01
3,Jordan Eberle,31,RW,79,21,23,44,-28,14,17,4,0,2,18,5,0,164,12.8,1418,17:57,2.3,0.9,3.2,40,48,6,14,30.0,eberljo01
4,Ryan Donato,25,C,74,16,15,31,-13,40,15,1,0,2,15,0,0,159,10.1,1021,13:48,1.7,0.9,2.6,17,70,15,23,39.5,donatry01
5,Calle Jarnkrok,30,C,49,12,14,26,-15,2,10,2,0,1,11,3,0,82,14.6,823,16:48,1.3,0.6,1.9,14,28,129,132,49.4,jarnkca01
6,Alexander Wennberg,27,C,80,11,26,37,-26,28,9,2,0,2,21,4,1,95,11.6,1428,17:51,0.6,1.0,1.6,44,47,555,635,46.6,wennbal01
7,Carson Soucy,27,D,64,10,11,21,7,47,9,0,1,1,8,2,1,97,10.3,1130,17:40,1.6,3.1,4.7,73,118,0,0,,soucyca01
8,Brandon Tanev,30,LW,30,9,6,15,4,13,6,2,1,3,6,0,0,51,17.6,437,14:34,1.1,0.7,1.8,22,98,1,1,50.0,tanevbr01
9,Adam Larsson,29,D,82,8,17,25,-23,55,8,0,0,3,16,1,0,119,6.7,1827,22:17,0.9,2.6,3.5,140,183,0,0,,larssad01
10,Jaden Schwartz,29,C,37,8,15,23,-13,14,7,1,0,0,12,3,0,101,7.9,683,18:27,1.1,0.5,1.5,13,42,17,18,48.6,schwaja01
11,Colin Blackwell,28,C,39,8,9,17,1,4,6,0,2,1,9,0,0,61,13.1,487,12:29,1.0,0.7,1.7,16,57,39,45,46.4,blackco01
12,Vince Dunn,25,D,73,7,28,35,-21,63,5,2,0,0,19,9,0,121,5.8,1509,20:41,2.2,2.0,4.1,82,76,0,0,,dunnvi02
13,Morgan Geekie,23,C,73,7,15,22,-16,18,7,0,0,0,11,4,0,97,7.2,920,12:36,0.2,0.7,0.9,23,55,351,318,52.5,geekimo01
14,Mark Giordano,38,D,55,6,17,23,-21,47,4,0,2,0,9,8,0,123,4.9,1182,21:29,1.3,1.2,2.5,98,46,0,0,,giordma01
15,Marcus Johansson,31,C,51,6,17,23,-22,4,3,3,0,1,11,6,0,81,7.4,846,16:35,0.4,0.4,0.8,18,17,31,49,38.8,johanma03
16,Mason Appleton,26,C,49,6,11,17,-4,14,6,0,0,2,11,0,0,68,8.8,701,14:18,0.2,0.8,1.1,12,39,7,13,35.0,applema01
17,Daniel Sprong,24,RW,16,6,0,6,-6,0,4,2,0,0,0,0,0,51,11.8,219,13:42,0.5,0.1,0.6,0,8,0,2,0.0,spronda01
18,Riley Sheahan,30,C,69,4,13,17,6,2,4,0,0,0,11,0,2,69,5.8,831,12:03,-0.3,1.4,1.1,28,16,263,296,47.0,sheahri01
19,Victor Rask,28,C,18,4,4,8,-3,0,4,0,0,1,3,1,0,28,14.3,262,14:33,0.4,0.3,0.7,3,6,6,4,60.0,raskvi01
