#Source: https://www.hockey-reference.com/teams/SEA/2023.html
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,url
1,Jared McCann,26,C,79,40,30,70,18,14,30,7,3,3,21,9,0,210,19.0,1291,16:20,7.0,1.8,8.9,28,65,26,52,33.3,mccanja01
2,Vince Dunn,26,D,81,14,50,64,28,55,14,0,0,2,35,15,0,149,9.4,1917,23:40,5.2,5.2,10.4,80,115,0,0,,dunnvi02
3,Jordan Eberle,32,RW,82,20,43,63,6,34,17,3,0,4,31,12,0,177,11.3,1368,16:41,4.2,1.5,5.7,25,44,34,43,44.2,eberljo01
4,Matthew Beniers,20,C,80,24,33,57,14,2,20,4,0,4,26,6,1,148,16.2,1367,17:06,4.0,1.8,5.8,48,79,409,560,42.2,beniema01
5,Yanni Gourde,31,C,81,14,34,48,23,76,10,3,1,2,33,1,0,141,9.9,1388,17:08,2.1,2.1,4.2,54,118,483,489,49.7,gourdya01
6,Daniel Sprong,25,RW,66,21,25,46,13,14,15,6,0,3,17,8,0,147,14.3,754,11:25,4.4,1.2,5.5,17,33,2,3,40.0,spronda01
7,Oliver Bjorkstrand,27,RW,81,20,25,45,-1,16,15,5,0,1,20,5,0,198,10.1,1266,15:37,2.7,1.1,3.9,38,63,18,41,30.5,bjorkol01
8,Jaden Schwartz,30,C,71,21,19,40,-17,22,15,6,0,2,17,2,0,167,12.6,1237,17:25,2.4,0.5,3.0,25,55,73,84,46.5,schwaja01
9,André Burakovsky,27,LW,49,13,26,39,-9,14,9,4,0,3,16,10,0,105,12.4,811,16:33,2.8,0.4,3.2,15,17,0,6,0.0,burakan01
10,Alexander Wennberg,28,C,82,13,25,38,-7,20,9,4,0,3,20,5,0,101,12.9,1533,18:42,0.6,1.2,1.8,63,43,627,748,45.6,wennbal01
11,Brandon Tanev,31,LW,82,16,19,35,21,44,15,0,1,3,19,0,0,115,13.9,1166,14:13,1.7,1.8,3.5,68,190,3,22,12.0,tanevbr01
12,Justin Schultz,32,D,73,7,27,34,4,40,6,1,0,4,15,12,0,98,7.1,1299,17:47,2.4,2.4,4.8,72,30,0,0,,schulju01
13,Adam Larsson,30,D,82,8,25,33,27,47,7,0,1,2,25,0,0,143,5.6,1938,23:38,1.6,5.1,6.7,173,222,0,0,,larssad01
14,Morgan Geekie,24,C,69,9,19,28,14,24,8,1,0,3,19,0,0,81,11.1,721,10:27,1.6,1.2,2.7,33,53,297,307,49.2,geekimo01
15,Eeli Tolvanen,23,RW,48,16,11,27,10,10,12,4,0,3,8,3,0,97,16.5,719,14:59,2.2,1.0,3.2,35,69,2,7,22.2,tolvaee01
16,Ryan Donato,26,C,71,14,13,27,16,46,14,0,0,0,11,2,0,122,11.5,799,11:15,1.7,1.3,3.0,12,69,62,85,42.2,donatry01
17,Jamie Oleksiak,30,D,75,9,16,25,13,62,9,0,0,2,16,0,0,76,11.8,1444,19:15,1.5,3.3,4.8,115,126,0,0,,oleksja01
18,William Borgen,26,D,82,3,17,20,11,47,3,0,0,1,17,0,0,76,3.9,1342,16:22,0.6,3.0,3.6,89,203,0,0,,borgewi01
19,Carson Soucy,28,D,78,3,13,16,18,68,3,0,0,0,11,0,2,87,3.4,1271,16:18,0.3,3.4,3.7,96,143,0,0,,soucyca01
20,Jesper Frödén,28,F,14,0,4,4,4,6,0,0,0,0,4,0,0,10,0.0,140,10:00,0.0,0.3,0.3,6,11,0,0,,frodeje01
21,Karson Kuhlman,27,C,14,1,2,3,3,0,1,0,0,1,2,0,0,13,7.7,136,9:42,0.0,0.2,0.2,6,8,0,0,,kuhlmka01
22,John Hayden,27,C,7,2,0,2,2,7,2,0,0,0,0,0,0,9,22.2,55,7:55,0.2,0.1,0.4,3,4,0,1,0.0,haydejo01
23,Shane Wright,19,C,8,1,1,2,4,2,1,0,0,0,1,0,0,4,25.0,68,8:29,0.1,0.2,0.3,6,1,10,21,32.3,wrighsh01
24,Cale Fleury,24,D,12,0,1,1,0,2,0,0,0,0,1,0,0,10,0.0,160,13:19,-0.1,0.3,0.2,13,28,0,0,,fleurca01
25,Philipp Grubauer,31,G,39,0,1,1,0,0,0,0,0,0,1,0,0,0,,2066,52:58,0.0,0.0,4.4,0,0,0,0,,grubaph01
26,Joey Daccord,26,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,248,49:38,0.0,0.0,0.7,0,0,0,0,,daccojo01
27,Martin Jones,33,G,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,2626,54:42,0.0,0.0,4.3,0,0,0,0,,jonesma02
28,Jaycob Megna,30,D,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,104,17:22,-0.1,0.0,-0.2,3,11,0,0,,megnaja02
29,Gustav Olofsson,28,D,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,39,12:56,0.0,0.1,0.1,4,2,0,0,,olofsgu01
