#Source: https://www.hockey-reference.com/teams/SEA/2024.html
Player,Age,Pos,GP,G,A,PTS,P_M,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,SOG,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,url
Jared McCann,27,C,80,29,33,62,-10,31,18,9,2,3,19,14,0,216,13.4,440,1340:53,16:46,147,160,47.9,27,45,42,29,,mccanja01
Oliver Bjorkstrand,28,RW,82,20,39,59,-20,12,12,8,0,3,22,17,0,186,10.8,428,1327:00,16:11,9,19,32.1,29,67,63,24,ASGByng-21,bjorkol01
Vince Dunn,27,D,59,11,35,46,8,78,7,4,0,0,22,12,1,120,9.2,328,1362:08,23:05,0,0,,64,39,30,34,,dunnvi02
Jordan Eberle,33,RW,78,17,27,44,1,17,11,6,0,3,21,6,0,168,10.1,313,1360:42,17:27,31,42,42.5,23,30,59,20,,eberljo01
Eeli Tolvanen,24,RW,81,16,25,41,-15,24,15,1,0,3,16,9,0,153,10.5,330,1267:01,15:39,12,23,34.3,75,210,33,24,,tolvaee01
Matty Beniers,21,C,77,15,22,37,-11,20,9,6,0,1,15,7,0,133,11.3,273,1383:10,17:58,527,584,47.4,44,52,45,31,,beniema01
Yanni Gourde,32,C,80,11,22,33,-11,62,9,0,2,1,19,2,1,156,7.1,293,1395:49,17:27,519,566,47.8,52,156,62,25,,gourdya01
Jaden Schwartz,31,C,62,13,17,30,-15,24,6,7,0,0,14,3,0,117,11.1,209,1014:28,16:22,92,69,57.1,27,46,40,21,,schwaja01
Justin Schultz,33,D,70,7,19,26,-23,22,7,0,0,2,9,10,0,100,7.0,267,1153:07,16:28,0,0,,68,26,17,12,,schulju01
William Borgen,27,D,82,3,22,25,-5,65,3,0,0,0,22,0,0,97,3.1,258,1442:12,17:35,0,0,,111,195,16,19,,borgewi01
Alexander Wennberg,29,C,60,9,16,25,1,14,6,2,1,4,14,2,0,80,11.3,127,1129:07,18:49,470,536,46.7,65,37,40,18,,wennbal01
Tye Kartye,22,F,77,11,9,20,-1,37,11,0,0,1,9,0,0,109,10.1,224,911:22,11:50,41,46,47.1,27,229,24,9,,kartyty01
Adam Larsson,31,D,81,4,14,18,6,55,4,0,0,1,13,0,1,130,3.1,304,1858:33,22:57,0,0,,151,162,22,18,,larssad01
Kailer Yamamoto,25,RW,59,8,8,16,-9,18,6,2,0,2,4,4,0,61,13.1,108,707:30,11:59,38,69,35.5,18,31,25,6,,yamamka01
Brandon Tanev,32,LW,66,7,9,16,2,51,7,0,0,0,7,0,2,73,9.6,136,962:45,14:35,9,21,30.0,62,148,31,13,,tanevbr01
André Burakovsky,28,LW,49,7,9,16,-15,14,2,5,0,1,5,4,0,92,7.6,207,713:41,14:34,3,3,50.0,14,13,24,11,,burakan01
Brian Dumoulin,32,D,80,6,10,16,3,20,6,0,0,1,10,0,0,69,8.7,186,1361:15,17:01,0,0,,79,72,18,25,,dumoubr01
Tomáš Tatar,33,LW,43,8,7,15,8,10,8,0,0,2,7,0,0,53,15.1,116,567:04,13:11,2,9,18.2,14,27,16,13,,tatarto01
Jamie Oleksiak,31,D,82,2,13,15,-2,37,2,0,0,0,11,0,2,108,1.9,213,1611:11,19:39,0,0,,177,110,33,29,,oleksja01
Ryker Evans,22,D,36,1,8,9,-5,20,1,0,0,0,3,5,0,44,2.3,102,690:26,19:11,0,0,,38,62,7,7,,evansry01
Pierre-Édouard Bellemare,38,LW,40,4,3,7,4,6,3,0,1,0,3,0,0,36,11.1,69,393:32,9:50,174,151,53.5,22,20,18,7,,bellepi01
Shane Wright,20,C,8,4,1,5,1,0,4,0,0,3,0,1,0,12,33.3,28,108:17,13:32,41,40,50.6,6,1,4,5,,wrighsh01
Devin Shore,29,C,21,1,3,4,3,4,1,0,0,0,3,0,0,15,6.7,38,168:09,8:00,20,20,50.0,9,27,5,1,,shorede01
Philipp Grubauer,32,G,36,0,1,1,0,4,0,0,0,0,0,0,1,0,,0,1996:36,55:28,0,0,,0,0,0,5,,grubaph01
Logan Morrison,21,F,4,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,16,52:32,13:08,14,17,45.2,8,2,3,0,,morrilo01
Gustav Olofsson,29,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,14:57,14:57,0,0,,3,0,0,1,,olofsgu01
Andrew Poturalski,30,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,13:45,6:53,3,0,100.0,0,0,0,0,,poturan01
Max McCormick,31,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5:38,5:38,0,0,,0,0,0,0,,mccorma01
Cale Fleury,25,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,13:30,13:30,0,0,,0,3,0,0,,fleurca01
Marián Studenič,25,RW,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,2,16:13,8:07,0,0,,0,4,0,0,,studema01
Chris Driedger,29,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,119:35,59:48,0,0,,0,0,0,2,,driedch01
Kole Lind,25,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5:59,5:59,0,1,0.0,0,2,0,0,,lindko01
Joey Daccord,27,G,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2832:47,56:39,0,0,,0,0,5,10,ASnhl-12,daccojo01
Ryan Winterton,20,C,9,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,18,84:03,9:20,0,1,0.0,4,10,4,1,,wintery01
John Hayden,28,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,2,13:27,6:44,1,1,50.0,1,3,0,0,,haydejo01
