#Source: https://www.hockey-reference.com/teams/SEA/2025.html
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Jared McCann,28,C,82,22,39,61,8,18,18,4,0,3,26,12,1,202,10.9,418,1411:17,17:13,109,135,44.7,50,47,29,66,,mccanja01
2,Chandler Stephenson,30,C,78,13,38,51,-9,24,10,1,2,1,21,17,0,72,18.1,129,1521:44,19:31,760,714,51.6,50,33,30,58,,stephch02
3,Jaden Schwartz,32,C,81,26,23,49,-6,24,20,6,0,6,19,4,0,194,13.4,356,1448:30,17:53,34,34,50.0,42,43,43,60,,schwaja01
4,Shane Wright,21,C,79,19,25,44,4,18,12,7,0,2,19,6,0,91,20.9,204,1111:23,14:04,369,462,44.4,62,54,14,73,,wrighsh01
5,Matty Beniers,22,C,82,20,23,43,0,14,15,5,0,2,19,4,0,147,13.6,322,1532:24,18:41,569,624,47.7,77,42,28,72,Byng-49,beniema01
6,Brandon Montour,30,D,81,18,23,41,-22,70,13,5,0,4,17,6,0,231,7.8,531,1861:04,22:59,0,0,,100,84,25,97,,montobr01
7,Vince Dunn,28,D,62,11,28,39,-3,33,9,2,0,3,18,10,0,137,8.0,321,1368:54,22:05,0,0,,79,29,25,79,,dunnvi02
8,Oliver Bjorkstrand,29,RW,61,16,21,37,-1,14,12,4,0,1,17,4,0,124,12.9,244,943:52,15:28,2,5,28.6,15,61,21,56,,bjorkol01
9,André Burakovsky,29,LW,79,10,27,37,-3,12,10,0,0,1,19,8,0,115,8.7,219,1139:22,14:25,3,3,50.0,27,33,18,38,,burakan01
10,Eeli Tolvanen,25,RW,81,23,12,35,3,23,21,2,0,3,9,3,0,137,16.8,283,1159:55,14:19,5,6,45.5,65,237,13,45,,tolvaee01
11,Kaapo Kakko,23,RW,49,10,20,30,-11,24,7,3,0,1,17,3,0,72,13.9,152,835:21,17:03,18,18,50.0,20,45,13,43,,kakkoka01
12,Adam Larsson,32,D,82,7,21,28,22,31,7,0,0,1,21,0,0,112,6.3,263,1737:14,21:11,0,0,,148,104,33,55,,larssad01
13,Jordan Eberle,34,RW,42,9,17,26,0,14,8,1,0,1,13,4,0,66,13.6,130,683:03,16:16,7,11,38.9,25,13,21,28,,eberljo01
14,Ryker Evans,23,D,73,5,20,25,-12,30,4,1,0,0,18,2,0,59,8.5,174,1422:05,19:29,0,0,,106,123,12,73,,evansry01
15,Jamie Oleksiak,32,D,82,4,13,17,-2,34,4,0,0,1,13,0,0,66,6.1,174,1539:39,18:47,0,0,,159,74,23,89,,oleksja01
16,Yanni Gourde,33,C,36,6,11,17,-5,36,6,0,0,1,11,0,0,40,15.0,87,557:45,15:30,191,185,50.8,26,59,11,23,,gourdya01
17,Brandon Tanev,33,LW,60,9,8,17,-12,10,9,0,0,0,8,0,0,85,10.6,142,836:24,13:56,7,20,25.9,91,122,17,40,,tanevbr01
18,Tye Kartye,23,F,63,6,7,13,-14,43,5,0,1,0,7,0,0,56,10.7,113,609:54,9:41,3,12,20.0,29,175,4,24,,kartyty01
19,Josh Mahura,26,D,64,0,9,9,5,20,0,0,0,0,9,0,0,58,0.0,135,880:20,13:45,0,0,,54,89,10,41,,mahurjo01
