#Source: https://www.hockey-reference.com/teams/SEA/2025.html
Rk,Player,Age,Pos,GP,G,A,PTS,P_M,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Jared McCann,28,C,17,8,12,20,9,2,6,2,0,1,9,3,0,40,20.0,91,289:35,17:02,4,9,30.8,13,5,9,19,,mccanja01
2,Jordan Eberle,34,RW,17,6,5,11,3,6,5,1,0,1,4,1,0,29,20.7,57,269:19,15:51,3,6,33.3,14,0,7,14,,eberljo01
3,Brandon Montour,30,D,16,4,7,11,5,16,2,2,0,0,6,1,0,51,7.8,111,378:02,23:38,0,0,,21,28,8,23,,montobr01
4,Chandler Stephenson,30,C,17,1,9,10,-4,4,0,1,0,0,4,5,0,16,6.3,31,340:49,20:03,184,166,52.6,5,5,8,13,,stephch02
5,Jaden Schwartz,32,C,17,4,6,10,2,10,2,2,0,3,5,1,0,28,14.3,59,282:49,16:38,1,9,10.0,8,14,7,4,,schwaja01
6,Matty Beniers,22,C,17,4,6,10,5,2,4,0,0,0,6,0,0,30,13.3,59,295:06,17:22,127,125,50.4,14,8,4,13,,beniema01
7,Ryker Evans,23,D,17,3,6,9,2,10,2,1,0,0,5,1,0,21,14.3,58,348:31,20:30,0,0,,28,30,2,14,,evansry01
8,Oliver Bjorkstrand,29,RW,16,4,4,8,3,2,4,0,0,0,3,1,0,39,10.3,66,232:49,14:33,1,2,33.3,6,13,3,14,,bjorkol01
9,André Burakovsky,29,LW,17,0,7,7,-6,4,0,0,0,0,4,3,0,22,0.0,47,241:30,14:12,2,0,100.0,10,5,2,9,,burakan01
10,Eeli Tolvanen,25,RW,17,5,1,6,-1,2,4,1,0,1,0,1,0,23,21.7,49,230:54,13:35,2,2,50.0,10,39,1,9,,tolvaee01
11,Brandon Tanev,33,LW,17,5,1,6,-3,4,5,0,0,0,1,0,0,32,15.6,50,246:22,14:30,2,8,20.0,24,37,9,7,,tanevbr01
12,Yanni Gourde,33,C,17,0,4,4,-3,30,0,0,0,0,4,0,0,19,0.0,38,256:48,15:06,90,94,48.9,13,25,7,12,,gourdya01
13,Jamie Oleksiak,32,D,17,1,3,4,0,4,1,0,0,0,3,0,0,22,4.5,45,349:54,20:35,0,0,,36,17,3,24,,oleksja01
14,Tye Kartye,23,F,16,2,1,3,-3,8,2,0,0,0,1,0,0,16,12.5,35,167:15,10:27,0,4,0.0,6,55,1,5,,kartyty01
15,Adam Larsson,32,D,17,1,2,3,1,15,1,0,0,0,2,0,0,24,4.2,55,357:23,21:01,0,0,,35,28,5,10,,larssad01
16,Vince Dunn,28,D,4,1,2,3,-2,2,1,0,0,0,0,2,0,10,10.0,14,75:17,18:49,0,0,,10,4,0,6,,dunnvi02
17,William Borgen,28,D,17,1,1,2,-6,2,1,0,0,0,1,0,0,15,6.7,48,271:18,15:58,0,0,,15,27,4,10,,borgewi01
18,Shane Wright,21,C,17,1,1,2,0,6,1,0,0,1,1,0,0,12,8.3,29,215:01,12:39,70,87,44.6,7,8,3,19,,wrighsh01
19,Josh Mahura,26,D,12,0,1,1,3,4,0,0,0,0,1,0,0,9,0.0,30,152:40,12:43,0,0,,4,16,3,8,,mahurjo01
20,John Hayden,29,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,1,8:54,8:54,1,0,100.0,1,4,0,0,,haydejo01
21,Philipp Grubauer,33,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,348:31,58:05,0,0,,0,0,0,1,,grubaph01
22,Cale Fleury,26,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5,22:58,11:29,0,0,,3,4,2,1,,fleurca01
23,Joey Daccord,28,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,658:16,59:51,0,0,,0,0,0,5,,daccojo01
24,Ryan Winterton,21,C,1,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,1,9:28,9:28,0,0,,1,3,0,0,,wintery01
